name,is_dangerous
Чау-чау,false
Черный терьер,true
Чехословацкая волчья собака,true_new
Чешский терьер,false
Чешский фоусек,false
Чирнеко дель Этна,false
Чихуахуа,false
Шарпей (китайская бойцовская собака),true
Шведская гончая,false
Шведский вальхунд,false
Швейцарская гончая,false
Шелти,false
Ши-тцу,false
Шотландский сеттер,false
Шотландский терьер,false
Энтлебухер зенненхунд,false
Эрдельтерьер,true_new
Эстонская гончая,false
Эштрельская овчарка,true_new
Южнорусская овчарка,true
Ягдтерьер,false
Японский терьер,false
Японский хин,false
Японский шпиц,false
